x,y
116.888,305.97168
173.85196,976.1281
-40.034355,968.80316
-8.599106,1204.2186
181.82773,1224.1882
194.63551,1425.467
-29.685913,1439.3726
-4.1504974,1701.1052
183.72293,1669.2814
